movement_class,muscle_group,contraindication,tagged,group_size,coverage,inconsistent,examples_tagged,examples_untagged,tag_correct_for_this_movement__Y_N,coverage_correct__Y_N,missing_contraindications,reviewer_notes
(isolation),legs,heart_disease,3,126,2%,,Power Jerk | Split Jerk | Wide Stance Stiff Legs,90/90 Hamstring | All Fours Quad Stretch | Alternate Leg Diagonal Bound | Ankle Circles | Ankle On The Knee | Anterior T,,,,
(isolation),legs,herniated_disc,12,126,10%,,Backward Drag | Conan'S Wheel | Knee Across The Body,90/90 Hamstring | All Fours Quad Stretch | Alternate Leg Diagonal Bound | Ankle Circles | Ankle On The Knee | Anterior T,,,,
(isolation),legs,hip_injury,12,126,10%,,Ankle On The Knee | Groin And Back Stretch | Groiners,90/90 Hamstring | All Fours Quad Stretch | Alternate Leg Diagonal Bound | Ankle Circles | Anterior Tibialis-Smr | Backwa,,,,
(isolation),legs,hypertension,3,126,2%,,Power Jerk | Split Jerk | Wide Stance Stiff Legs,90/90 Hamstring | All Fours Quad Stretch | Alternate Leg Diagonal Bound | Ankle Circles | Ankle On The Knee | Anterior T,,,,
(isolation),legs,pregnancy,18,126,14%,,Alternate Leg Diagonal Bound | Bench Jump | Box Jump (Multiple Response),90/90 Hamstring | All Fours Quad Stretch | Ankle Circles | Ankle On The Knee | Anterior Tibialis-Smr | Backward Drag | B,,,,
(isolation),legs,rotator_cuff,8,126,6%,,Conan'S Wheel | Power Jerk | Power Stairs,90/90 Hamstring | All Fours Quad Stretch | Alternate Leg Diagonal Bound | Ankle Circles | Ankle On The Knee | Anterior T,,,,
(isolation),legs,shoulder_injury,8,126,6%,,Conan'S Wheel | Power Jerk | Power Stairs,90/90 Hamstring | All Fours Quad Stretch | Alternate Leg Diagonal Bound | Ankle Circles | Ankle On The Knee | Anterior T,,,,
(isolation),shoulders,herniated_disc,3,62,5%,,Bent Over Low-Pulley Side Lateral | Circus Bell | Log Lift,Alternating Kettlebell Press | Anti-Gravity Press | Arm Circles | Backward Medicine Ball Throw | Band Pull Apart | Barbe,,,,
(isolation),shoulders,lower_back_pain,1,62,2%,,Prone Y-T-W Raise,Alternating Kettlebell Press | Anti-Gravity Press | Arm Circles | Backward Medicine Ball Throw | Band Pull Apart | Barbe,,,,
(isolation),shoulders,osteoporosis,3,62,5%,,Bent Over Low-Pulley Side Lateral | Circus Bell | Log Lift,Alternating Kettlebell Press | Anti-Gravity Press | Arm Circles | Backward Medicine Ball Throw | Band Pull Apart | Barbe,,,,
